date,site_id,site_name,capacity_kwp,irradiance_kwh_m2,generation_kwh,availability_pct
2024-01-01,SITE_A,Tuas Rooftop,1850.0,3.536,4333.4,83.2
2024-01-01,SITE_B,Jurong Warehouse,3200.0,4.453,11492.2,100.0
2024-01-01,SITE_C,Senoko Industrial,5400.0,3.886,17304.5,100.0
2024-01-01,SITE_D,Changi Logistics Hub,2750.0,2.744,6545.7,100.0
2024-01-01,SITE_E,Pasir Panjang Terminal,4100.0,4.042,12504.7,100.0
2024-01-02,SITE_A,Tuas Rooftop,1850.0,4.326,6620.6,100.0
2024-01-02,SITE_B,Jurong Warehouse,3200.0,4.396,11318.0,100.0
2024-01-02,SITE_C,Senoko Industrial,5400.0,2.491,10906.8,100.0
2024-01-02,SITE_D,Changi Logistics Hub,2750.0,2.855,6805.6,100.0
2024-01-02,SITE_E,Pasir Panjang Terminal,4100.0,2.98,9390.7,100.0
2024-01-03,SITE_A,Tuas Rooftop,1850.0,3.264,4989.2,100.0
2024-01-03,SITE_B,Jurong Warehouse,3200.0,2.523,6202.8,100.0
2024-01-03,SITE_C,Senoko Industrial,5400.0,2.897,12694.7,100.0
2024-01-03,SITE_D,Changi Logistics Hub,2750.0,3.199,7544.4,100.0
2024-01-03,SITE_E,Pasir Panjang Terminal,4100.0,3.974,12477.9,100.0
2024-01-04,SITE_A,Tuas Rooftop,1850.0,3.963,6067.6,100.0
2024-01-04,SITE_B,Jurong Warehouse,3200.0,3.502,8736.9,100.0
2024-01-04,SITE_C,Senoko Industrial,5400.0,2.858,12474.9,100.0
2024-01-04,SITE_D,Changi Logistics Hub,2750.0,2.949,7040.2,100.0
2024-01-04,SITE_E,Pasir Panjang Terminal,4100.0,4.208,13077.7,100.0
2024-01-05,SITE_A,Tuas Rooftop,1850.0,2.56,3840.7,100.0
2024-01-05,SITE_B,Jurong Warehouse,3200.0,3.059,7684.8,100.0
2024-01-05,SITE_C,Senoko Industrial,5400.0,3.575,15481.1,100.0
2024-01-05,SITE_D,Changi Logistics Hub,2750.0,2.668,6280.6,100.0
2024-01-05,SITE_E,Pasir Panjang Terminal,4100.0,3.19,10092.1,100.0
2024-01-06,SITE_A,Tuas Rooftop,1850.0,4.154,6108.6,100.0
2024-01-06,SITE_B,Jurong Warehouse,3200.0,2.596,6636.3,100.0
2024-01-06,SITE_C,Senoko Industrial,5400.0,3.292,14603.2,100.0
2024-01-06,SITE_D,Changi Logistics Hub,2750.0,3.741,8250.2,100.0
2024-01-06,SITE_E,Pasir Panjang Terminal,4100.0,3.709,11705.2,100.0
2024-01-07,SITE_A,Tuas Rooftop,1850.0,4.015,6089.2,100.0
2024-01-07,SITE_B,Jurong Warehouse,3200.0,4.718,11874.3,100.0
2024-01-07,SITE_C,Senoko Industrial,5400.0,4.58,20315.5,100.0
2024-01-07,SITE_D,Changi Logistics Hub,2750.0,3.23,7687.3,100.0
2024-01-07,SITE_E,Pasir Panjang Terminal,4100.0,4.927,15400.4,100.0
2024-01-08,SITE_A,Tuas Rooftop,1850.0,3.149,4804.2,100.0
2024-01-08,SITE_B,Jurong Warehouse,3200.0,2.832,6903.7,100.0
2024-01-08,SITE_C,Senoko Industrial,5400.0,3.519,15363.6,100.0
2024-01-08,SITE_D,Changi Logistics Hub,2750.0,2.978,6907.5,100.0
2024-01-08,SITE_E,Pasir Panjang Terminal,4100.0,4.626,14297.2,100.0
2024-01-09,SITE_A,Tuas Rooftop,1850.0,4.013,6018.2,100.0
2024-01-09,SITE_B,Jurong Warehouse,3200.0,3.26,8111.4,100.0
2024-01-09,SITE_C,Senoko Industrial,5400.0,3.912,17156.1,100.0
2024-01-09,SITE_D,Changi Logistics Hub,2750.0,2.322,5501.6,100.0
2024-01-09,SITE_E,Pasir Panjang Terminal,4100.0,3.899,12495.4,100.0
2024-01-10,SITE_A,Tuas Rooftop,1850.0,3.11,4684.0,100.0
2024-01-10,SITE_B,Jurong Warehouse,3200.0,4.05,10580.0,100.0
2024-01-10,SITE_C,Senoko Industrial,5400.0,4.002,17607.7,100.0
2024-01-10,SITE_D,Changi Logistics Hub,2750.0,2.653,5958.6,100.0
2024-01-10,SITE_E,Pasir Panjang Terminal,4100.0,4.059,12883.9,100.0
2024-01-11,SITE_A,Tuas Rooftop,1850.0,3.704,5608.4,100.0
2024-01-11,SITE_B,Jurong Warehouse,3200.0,3.486,8824.7,100.0
2024-01-11,SITE_C,Senoko Industrial,5400.0,3.508,15318.0,100.0
2024-01-11,SITE_D,Changi Logistics Hub,2750.0,2.76,6317.3,100.0
2024-01-11,SITE_E,Pasir Panjang Terminal,4100.0,3.335,10454.4,100.0
2024-01-12,SITE_A,Tuas Rooftop,1850.0,4.319,6453.1,100.0
2024-01-12,SITE_B,Jurong Warehouse,3200.0,4.061,10345.8,100.0
2024-01-12,SITE_C,Senoko Industrial,5400.0,5.452,23695.8,100.0
2024-01-12,SITE_D,Changi Logistics Hub,2750.0,3.539,8147.5,100.0
2024-01-12,SITE_E,Pasir Panjang Terminal,4100.0,3.482,10590.3,100.0
2024-01-13,SITE_A,Tuas Rooftop,1850.0,3.348,5282.1,100.0
2024-01-13,SITE_B,Jurong Warehouse,3200.0,4.604,11824.6,100.0
2024-01-13,SITE_C,Senoko Industrial,5400.0,3.696,16161.5,100.0
2024-01-13,SITE_D,Changi Logistics Hub,2750.0,2.966,6729.0,100.0
2024-01-13,SITE_E,Pasir Panjang Terminal,4100.0,5.039,16238.9,100.0
2024-01-14,SITE_A,Tuas Rooftop,1850.0,4.902,7537.5,100.0
2024-01-14,SITE_B,Jurong Warehouse,3200.0,3.171,8109.2,100.0
2024-01-14,SITE_C,Senoko Industrial,5400.0,4.919,22182.6,100.0
2024-01-14,SITE_D,Changi Logistics Hub,2750.0,4.126,9898.6,100.0
2024-01-14,SITE_E,Pasir Panjang Terminal,4100.0,3.048,9805.7,100.0
2024-01-15,SITE_A,Tuas Rooftop,1850.0,3.899,5967.3,100.0
2024-01-15,SITE_B,Jurong Warehouse,3200.0,4.209,10431.9,100.0
2024-01-15,SITE_C,Senoko Industrial,5400.0,4.361,19046.2,100.0
2024-01-15,SITE_D,Changi Logistics Hub,2750.0,4.011,9255.3,100.0
2024-01-15,SITE_E,Pasir Panjang Terminal,4100.0,2.312,7366.7,100.0
2024-01-16,SITE_A,Tuas Rooftop,1850.0,2.957,4554.3,100.0
2024-01-16,SITE_B,Jurong Warehouse,3200.0,2.884,7151.7,100.0
2024-01-16,SITE_C,Senoko Industrial,5400.0,4.014,17495.3,100.0
2024-01-16,SITE_D,Changi Logistics Hub,2750.0,2.779,6592.9,100.0
2024-01-16,SITE_E,Pasir Panjang Terminal,4100.0,3.936,13096.7,100.0
2024-01-17,SITE_A,Tuas Rooftop,1850.0,2.607,4078.0,100.0
2024-01-17,SITE_B,Jurong Warehouse,3200.0,3.466,8807.9,100.0
2024-01-17,SITE_C,Senoko Industrial,5400.0,3.263,14004.4,100.0
2024-01-17,SITE_D,Changi Logistics Hub,2750.0,4.207,9663.4,100.0
2024-01-17,SITE_E,Pasir Panjang Terminal,4100.0,4.093,12996.7,100.0
2024-01-18,SITE_A,Tuas Rooftop,1850.0,3.276,4957.4,100.0
2024-01-18,SITE_B,Jurong Warehouse,3200.0,3.708,9449.2,100.0
